medium;painter;title;url;year;local_filename;year_unambiguous;Observer;SessionID;FlippedLR;Confidence;Estimates;Duration;Painting CenterXY;Painting size
oil on canvas;Adolph Menzel;Bonsoir, Messieurs! (Friedrich der Große in Lissa);https://upload.wikimedia.org/wikipedia/commons/8/8f/Adolf_Friedrich_Erdmann_von_Menzel_017.jpg;1858;Adolf_Friedrich_Erdmann_von_Menzel_017.jpg;1858;KSC94w;;;;;;;
oil on canvas;Adolph Menzel;Chodowiecki auf der Jannowitzbrücke;https://upload.wikimedia.org/wikipedia/commons/1/11/Adolf_Friedrich_Erdmann_von_Menzel_018.jpg;1859;Adolf_Friedrich_Erdmann_von_Menzel_018.jpg;1859;KSC94w;;;;;;;
oil on canvas;Adolph Menzel;Daniel Chodowiecki auf der Jannowitzbrücke;https://upload.wikimedia.org/wikipedia/commons/6/62/Adolf_Friedrich_Erdmann_von_Menzel_019.jpg;1859;Adolf_Friedrich_Erdmann_von_Menzel_019.jpg;1859;KSC94w;;;;;;;
watercolor on paper;Adolph Menzel;Chor der alten Klosterkirche in Berlin;https://upload.wikimedia.org/wikipedia/commons/5/51/Adolf_Friedrich_Erdmann_von_Menzel_020.jpg;1838;Adolf_Friedrich_Erdmann_von_Menzel_020.jpg;1838;KSC94w;;;;;;;
oil on canvas;Adolph Menzel;Eisenwalzwerk (Moderne Cyklopen);https://upload.wikimedia.org/wikipedia/commons/3/35/Adolf_Friedrich_Erdmann_von_Menzel_021.jpg;between 1872 and 1875;Adolf_Friedrich_Erdmann_von_Menzel_021.jpg;1875;KSC94w;;;;;;;
watercolor on paper;Adolph Menzel;Emilie Menzel am Klavier stehend;https://upload.wikimedia.org/wikipedia/commons/8/8b/Adolf_Friedrich_Erdmann_von_Menzel_022.jpg;1866;Adolf_Friedrich_Erdmann_von_Menzel_022.jpg;1866;KSC94w;;;;;;;
oil on canvas;Adolph Menzel;Flötenkonzert Friedrichs des Großen in Sanssouci.;https://upload.wikimedia.org/wikipedia/commons/7/70/Adolf_Friedrich_Erdmann_von_Menzel_023.jpg;1850-1852;Adolf_Friedrich_Erdmann_von_Menzel_023.jpg;1852;KSC94w;;;;;;;
Ölskizze, Papier auf Leinwand;Adolph Menzel;Friedrich der Große auf Reisen;https://upload.wikimedia.org/wikipedia/commons/f/f7/Adolf_Friedrich_Erdmann_von_Menzel_024.jpg;1850;Adolf_Friedrich_Erdmann_von_Menzel_024.jpg;1850;KSC94w;;;;;;;
oil on canvas;Adolph Menzel;Friedrichsgracht bei Mondschein;https://upload.wikimedia.org/wikipedia/commons/5/50/Adolf_Friedrich_Erdmann_von_Menzel_025.jpg;1847;Adolf_Friedrich_Erdmann_von_Menzel_025.jpg;1847;KSC94w;;;;;;;
oil on canvas;Adolph Menzel;Fronleichnamsprozession in Hofgastein;https://upload.wikimedia.org/wikipedia/commons/7/74/Adolf_Friedrich_Erdmann_von_Menzel_026.jpg;1880;Adolf_Friedrich_Erdmann_von_Menzel_026.jpg;1880;KSC94w;;;;;;;
