imgname;title;painter;year;medium;image-URL;page-URL;OriginCountry
1607_AbelGrimmer_DerSommer.jpg;Der Sommer;Abel Grimmer;1607;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/f/f7/Abel_Grimmer_002.jpg;https://commons.wikimedia.org/wiki/File:Abel_Grimmer_002.jpg;Netherlands Flandern
1700_AbrahamBloemaert_Bauernhof.jpg;Bauernhof;Abraham Bloemaert;17;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/3/3c/Abraham_Bloemaert_001.jpg;https://commons.wikimedia.org/wiki/File:Abraham_Bloemaert_001.jpg;Netherlands Holland
1628_AbrahamBloemaert_SchaeferinMit.jpg;Schäferin mit Trauben;Abraham Bloemaert;1628;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/b/b0/Abraham_Bloemaert_003.jpg;https://commons.wikimedia.org/wiki/File:Abraham_Bloemaert_003.jpg;Netherlands Holland
1635_AbrahamBosse_DerBall.jpg; Der Ball;Abraham Bosse;1635; Wasserfarben, Pergament;https://upload.wikimedia.org/wikipedia/commons/d/d6/Abraham_Bosse_001.jpg;https://commons.wikimedia.org/wiki/File:Abraham_Bosse_001.jpg;France
1655_AbrahamVanBeijeren_StillebenMit.jpg;Stilleben mit Fischen;Abraham van Beijeren;1655-1666;oil on panel;https://upload.wikimedia.org/wikipedia/commons/2/28/Abraham_Hendriksz_van_Beyeren_003.jpg;https://commons.wikimedia.org/wiki/File:Abraham_Hendriksz_van_Beyeren_003.jpg;No information
1650_AbrahamVanBeijeren_Fischbank.jpg;Fischbank;Abraham van Beijeren;circa 1650;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/5/5b/Abraham_Hendriksz._van_Beyeren_001.jpg;https://commons.wikimedia.org/wiki/File:Abraham_Hendriksz._van_Beyeren_001.jpg;Netherlands Holland
1650_AbrahamVanBeijeren_StillLifeWith.jpg;Still life with fruit, roast, silver- and glassware, porcelain and columbine cup on a dark tablecloth with white serviette.;Abraham van Beijeren;between 1650 and 1670;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/4/4f/Abraham_Hendriksz._van_Beyeren_002.jpg;https://commons.wikimedia.org/wiki/File:Abraham_Hendriksz._van_Beyeren_002.jpg;No information
1609_AbrahamJanssens_ScaldisAnd.jpg;Scaldis   and  Antwerpia;Abraham Janssens;1609;oil on panel;https://upload.wikimedia.org/wikipedia/commons/d/df/Abraham_Janssens_001.jpg;https://commons.wikimedia.org/wiki/File:Abraham_Janssens_001.jpg;Netherlands Flandern
1889_AbramEfimovichArkhipov_AnDerWolga.jpg;An der Wolga;Abram Efimovich Arkhipov;1889;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/b/b7/Abram_Jefimowitsch_Archipow_001.jpg;https://commons.wikimedia.org/wiki/File:Abram_Jefimowitsch_Archipow_001.jpg;Russia
1901_AbramEfimovichArkhipov_TheWasherWomen.jpg;The Washer Women;Abram Efimovich Arkhipov;circa 1901;oil on canvas;https://upload.wikimedia.org/wikipedia/commons/2/29/Abram_Jefimowitsch_Archipow_002.jpg;https://commons.wikimedia.org/wiki/File:Abram_Jefimowitsch_Archipow_002.jpg;Russia
